"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","OBP","SLG","OPS","ISO","BABIP","wOBA","wRAA","wRC","wRC+","playerid"
"Luis Valbuena","","570","1541","1775","366","197","85","5","79","144","206","218","12","376","8","7","1","27","0","2",".238","12.3 %","21.2 %",".334",".453",".787",".215",".263",".340","36.0","237","117","4969"
"Kole Calhoun","","597","1807","2008","481","316","88","11","66","115","231","176","5","396","8","16","1","26","1","1",".266","8.8 %","19.7 %",".331",".437",".768",".170",".305",".333","27.3","258","113","11200"
"Kaleb Cowart","","76","178","199","35","20","9","1","5","15","20","13","1","53","4","1","3","3","2","1",".197","6.5 %","26.6 %",".265",".343",".608",".146",".248",".264","-8.8","15","65","11494"
