"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","OBP","SLG","OPS","ISO","BABIP","wOBA","wRAA","wRC","wRC+","playerid"
"Kole Calhoun","","351","674","763","169","113","31","3","22","26","88","66","0","165","14","6","3","11","1","0",".251","8.7 %","21.6 %",".328",".404",".731",".153",".298",".321","2.9","91","105","11200"
"Luis Valbuena","","245","341","399","67","44","13","1","9","15","43","42","0","93","6","6","4","9","0","0",".196","10.5 %","23.3 %",".291",".320",".611",".123",".237",".275","-12.6","33","73","4969"
