"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","OBP","SLG","OPS","ISO","BABIP","wOBA","wRAA","wRC","wRC+","playerid"
"Brian McCann","","332","541","601","133","91","16","1","25","43","93","44","0","108","13","3","0","13","0","0",".246","7.3 %","18.0 %",".316",".418",".734",".172",".263",".322","3.4","72","104","4810"
"Josh Reddick","","324","548","607","121","95","12","3","11","26","63","51","0","105","2","2","2","10","3","2",".221","8.4 %","17.3 %",".289",".314",".602",".093",".253",".271","-21.5","47","70","3892"
