"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","OBP","SLG","OPS","ISO","BABIP","wOBA","wRAA","wRC","wRC+","playerid"
"Josh Reddick","","571","1601","1791","467","297","99","15","56","159","243","154","8","237","1","23","1","21","13","4",".292","8.6 %","13.2 %",".350",".477",".827",".186",".309",".354","55.7","261","127","3892"
"Brian McCann","","563","1553","1765","369","233","52","2","82","154","253","171","12","289","24","17","0","43","0","0",".238","9.7 %","16.4 %",".320",".432",".752",".194",".239",".325","15.0","216","105","4810"
"Marwin Gonzalez","","481","1263","1380","343","235","62","4","42","86","157","80","5","278","11","4","22","27","11","4",".272","5.8 %","20.1 %",".320",".427",".746",".155",".318",".322","8.2","167","105","5497"
"Derek Fisher","","45","117","133","24","15","4","0","5","11","13","13","1","43","3","0","0","1","2","0",".205","9.8 %","32.3 %",".301",".368",".668",".162",".275",".291","-3.3","13","82","16192"
"Tony Kemp","","64","127","141","29","21","4","3","1","1","10","11","0","26","1","1","1","4","0","0",".228","7.8 %","18.4 %",".293",".331",".624",".102",".277",".275","-5.2","12","71","14894"
"A.J. Reed","","44","111","128","19","13","3","0","3","6","8","16","0","40","0","1","0","1","0","0",".171","12.5 %","31.3 %",".273",".279",".553",".108",".232",".252","-7.0","8","56","16246"
