"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","OBP","SLG","OPS","ISO","BABIP","wOBA","wRAA","wRC","wRC+","playerid"
"George Springer","","233","508","620","140","81","24","2","33","91","75","87","4","125","20","3","1","6","6","8",".276","14.0 %","20.2 %",".400",".526",".925",".250",".303",".396","40.3","112","156","12856"
"Jose Altuve","","350","820","904","283","200","54","5","24","103","85","69","13","111","8","2","5","31","29","12",".345","7.6 %","12.3 %",".400",".511",".911",".166",".377",".391","54.9","158","152","5417"
"Alex Bregman","","87","198","224","61","37","13","2","9","24","26","22","2","35","1","2","1","2","7","0",".308","9.8 %","15.6 %",".377",".530",".907",".222",".333",".380","11.5","39","143","17678"
"Carlos Correa","","168","364","419","105","67","18","1","19","47","72","51","5","69","0","4","0","9","3","0",".288","12.2 %","16.5 %",".372",".500",".872",".212",".307",".370","18.3","67","138","14162"
"Tyler White","","56","96","106","24","11","6","0","7","13","17","8","1","26","1","1","0","0","0","0",".250","7.5 %","24.5 %",".311",".531",".843",".281",".266",".350","2.8","15","123","15564"
"Evan Gattis","","279","607","652","162","91","36","4","31","66","100","36","10","112","2","7","0","15","1","1",".267","5.5 %","17.2 %",".307",".493",".799",".226",".278",".335","10.0","84","114","11003"
"Marwin Gonzalez","","280","503","549","135","79","39","1","16","56","52","33","0","107","7","0","6","17","5","1",".268","6.0 %","19.5 %",".322",".445",".768",".177",".313",".332","6.6","70","111","5497"
"Jake Marisnick","","214","426","470","101","59","25","3","14","47","42","30","2","126","5","4","5","4","10","7",".237","6.4 %","26.8 %",".292",".408",".701",".171",".300",".301","-5.3","49","91","11339"
"Yulieski Gurriel","","88","188","201","46","30","11","1","4","14","24","10","0","23","1","2","0","7","1","2",".245","5.0 %","11.4 %",".284",".378",".661",".133",".258",".284","-6.1","18","77","19198"
